angles,num,truePositives,falsePositives,pitch,yaws
+0_+0,1.0,1.0,0.0,0.0,0.0
+0_+15,1.0,1.0,0.0,0.0,15.0
+0_+30,1.0,1.0,0.0,0.0,30.0
+0_+45,0.9333333333333333,0.9333333333333333,0.0,0.0,45.0
+0_+60,0.9333333333333333,0.9333333333333333,0.0,0.0,60.0
+0_+75,0.9,0.9,0.0,0.0,75.0
+0_+90,0.8333333333333334,0.8333333333333334,0.0,0.0,90.0
+0_-15,1.0,1.0,0.0,0.0,-15.0
+0_-30,1.0,1.0,0.0,0.0,-30.0
+0_-45,1.0,1.0,0.0,0.0,-45.0
+0_-60,0.9333333333333333,0.9333333333333333,0.0,0.0,-60.0
+0_-75,0.9333333333333333,0.9333333333333333,0.0,0.0,-75.0
+0_-90,0.9666666666666667,0.9666666666666667,0.0,0.0,-90.0
+15_+0,1.0,1.0,0.0,15.0,0.0
+15_+15,1.0,1.0,0.0,15.0,15.0
+15_+30,1.0,1.0,0.0,15.0,30.0
+15_+45,0.9666666666666667,0.9666666666666667,0.0,15.0,45.0
+15_+60,0.9666666666666667,0.9666666666666667,0.0,15.0,60.0
+15_+75,0.9,0.9,0.0,15.0,75.0
+15_+90,0.8666666666666667,0.8666666666666667,0.0,15.0,90.0
+15_-15,1.0,1.0,0.0,15.0,-15.0
+15_-30,1.0,1.0,0.0,15.0,-30.0
+15_-45,1.0,1.0,0.0,15.0,-45.0
+15_-60,0.9333333333333333,0.9333333333333333,0.0,15.0,-60.0
+15_-75,0.9333333333333333,0.9333333333333333,0.0,15.0,-75.0
+15_-90,0.9333333333333333,0.9333333333333333,0.0,15.0,-90.0
+30_+0,1.0,1.0,0.0,30.0,0.0
+30_+15,1.0,1.0,0.0,30.0,15.0
+30_+30,1.0,1.0,0.0,30.0,30.0
+30_+45,1.0,1.0,0.0,30.0,45.0
+30_+60,0.9666666666666667,0.9666666666666667,0.0,30.0,60.0
+30_+75,0.9,0.9,0.0,30.0,75.0
+30_+90,0.8666666666666667,0.8666666666666667,0.0,30.0,90.0
+30_-15,1.0,1.0,0.0,30.0,-15.0
+30_-30,1.0,1.0,0.0,30.0,-30.0
+30_-45,1.0,1.0,0.0,30.0,-45.0
+30_-60,0.9,0.9,0.0,30.0,-60.0
+30_-75,0.9333333333333333,0.9333333333333333,0.0,30.0,-75.0
+30_-90,0.8666666666666667,0.8666666666666667,0.0,30.0,-90.0
+60_+0,0.9666666666666667,0.9666666666666667,0.0,60.0,0.0
+60_+15,0.9666666666666667,0.9666666666666667,0.0,60.0,15.0
+60_+30,0.9333333333333333,0.9333333333333333,0.0,60.0,30.0
+60_+45,0.9,0.9,0.0,60.0,45.0
+60_+60,0.9333333333333333,0.9333333333333333,0.0,60.0,60.0
+60_+75,0.9,0.9,0.0,60.0,75.0
+60_+90,0.9333333333333333,0.9,0.03333333333333333,60.0,90.0
+60_-15,1.0,1.0,0.0,60.0,-15.0
+60_-30,1.0,1.0,0.0,60.0,-30.0
+60_-45,0.8333333333333334,0.8333333333333334,0.0,60.0,-45.0
+60_-60,0.8333333333333334,0.8333333333333334,0.0,60.0,-60.0
+60_-75,0.8333333333333334,0.8333333333333334,0.0,60.0,-75.0
+60_-90,0.8666666666666667,0.8666666666666667,0.0,60.0,-90.0
+90_+0,0.13333333333333333,0.13333333333333333,0.0,90.0,0.0
-15_+0,1.0,1.0,0.0,-15.0,0.0
-15_+15,1.0,1.0,0.0,-15.0,15.0
-15_+30,1.0,1.0,0.0,-15.0,30.0
-15_+45,0.9666666666666667,0.9666666666666667,0.0,-15.0,45.0
-15_+60,0.9333333333333333,0.9333333333333333,0.0,-15.0,60.0
-15_+75,0.8,0.8,0.0,-15.0,75.0
-15_+90,0.8,0.8,0.0,-15.0,90.0
-15_-15,0.9666666666666667,0.9666666666666667,0.0,-15.0,-15.0
-15_-30,0.9666666666666667,0.9666666666666667,0.0,-15.0,-30.0
-15_-45,0.9666666666666667,0.9666666666666667,0.0,-15.0,-45.0
-15_-60,0.9333333333333333,0.9333333333333333,0.0,-15.0,-60.0
-15_-75,0.9333333333333333,0.9333333333333333,0.0,-15.0,-75.0
-15_-90,0.9666666666666667,0.9666666666666667,0.0,-15.0,-90.0
-30_+0,0.9666666666666667,0.9666666666666667,0.0,-30.0,0.0
-30_+15,0.9666666666666667,0.9666666666666667,0.0,-30.0,15.0
-30_+30,0.9666666666666667,0.9666666666666667,0.0,-30.0,30.0
-30_+45,0.8,0.8,0.0,-30.0,45.0
-30_+60,0.6333333333333333,0.6333333333333333,0.0,-30.0,60.0
-30_+75,0.6,0.6,0.0,-30.0,75.0
-30_+90,0.5666666666666667,0.5666666666666667,0.0,-30.0,90.0
-30_-15,0.9,0.9,0.0,-30.0,-15.0
-30_-30,0.7,0.7,0.0,-30.0,-30.0
-30_-45,0.7,0.7,0.0,-30.0,-45.0
-30_-60,0.8333333333333334,0.8333333333333334,0.0,-30.0,-60.0
-30_-75,0.8,0.8,0.0,-30.0,-75.0
-30_-90,0.8333333333333334,0.8333333333333334,0.0,-30.0,-90.0
-60_+0,0.5,0.5,0.0,-60.0,0.0
-60_+15,0.7666666666666667,0.7666666666666667,0.0,-60.0,15.0
-60_+30,0.8,0.8,0.0,-60.0,30.0
-60_+45,0.5333333333333333,0.5333333333333333,0.0,-60.0,45.0
-60_+60,0.5333333333333333,0.5333333333333333,0.0,-60.0,60.0
-60_+75,0.3333333333333333,0.3333333333333333,0.0,-60.0,75.0
-60_+90,0.43333333333333335,0.43333333333333335,0.0,-60.0,90.0
-60_-15,0.5333333333333333,0.5333333333333333,0.0,-60.0,-15.0
-60_-30,0.43333333333333335,0.43333333333333335,0.0,-60.0,-30.0
-60_-45,0.5,0.5,0.0,-60.0,-45.0
-60_-60,0.3333333333333333,0.3333333333333333,0.0,-60.0,-60.0
-60_-75,0.4,0.4,0.0,-60.0,-75.0
-60_-90,0.4,0.4,0.0,-60.0,-90.0
-90_+0,0.3,0.3,0.0,-90.0,0.0
